Kingdom	Phylum	Class	Order	Family	Genus	Species	Full_name	Heterotroph	Autotroph	Organotroph	Lithotroph	Chemotroph	Phototroph	Copiotroph_Diazotroph	Methylotroph	Oligotroph
Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	terrae	Longimicrobium terrae Pascual et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	caucaseum	Magnetospirillum caucaseum Dziuba et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	binzhouensis	Agromyces binzhouensis Chen et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Dissulfurirhabdus	thermomarina	Dissulfurirhabdus thermomarina Slobodkina et al. 2016	0	0.5	0	0.5	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	clevelandensis	Lawsonella clevelandensis Bell et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Subgroup_6	Unknown_Order	Unknown_Family	Vicinamibacter	silvestris	Vicinamibacter silvestris Huber et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotaenia	torta	Anaerotaenia torta Ueki et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerocolumna	cellulosilytica	Anaerocolumna cellulosilytica Ueki et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruthenibacterium	lactatiformans	Ruthenibacterium lactatiformans Shkoporov et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	infernus	Tepidibacillus infernus Podosokorskaya et al. 2016	0	0	1	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	ureilytica	Micromonospora ureilytica Carro et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	noduli	Micromonospora noduli Carro et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	vinacea	Micromonospora vinacea Carro et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Pyrinomonadaceae	Brevitalea	aridisoli	Brevitalea aridisoli WÃ_st et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Pyrinomonadaceae	Brevitalea	deliciosa	Brevitalea deliciosa WÃ_st et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Pyrinomonadaceae	Arenimicrobium	luteum	Arenimicrobium luteum WÃ_st et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Sulfuriflexus	mobilis	Sulfuriflexus mobilis Kojima and Fukui 2016	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Varunaivibrio	sulfuroxidans	Varunaivibrio sulfuroxidans Patwardhan and Vetriani 2016	0.2	0.2	0.2	0.2	0.2	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thiomicrorhabdus	hydrogeniphila	Thiomicrorhabdus hydrogeniphila (Watsuji et al. 2016) Boden et al. 2017	0.333333333	0	0	0.333333333	0.333333333	0	0	0	0
