VAR	BCL2_MYC	CDX2.high	CRLF2	DUX4	ETV6.RUNX1	HLF	Hyperdiploid	Hypodiploid	iAMP21	IKZF1.n159y	KMT2A	MEF2D	NUTM1	PAX5.alt	PAX5.p80r	Ph	TCF3.PBX1	ZNF384
MYO1B	-1.25523159205106	0.418474208205591	0.536207930257133	-0.211353926565767	0.605508856414363	0.292484155338733	0.455562092407875	-0.24969586530981	0.539649496114163	-1.63044772650366	-1.35825887053322	-1.2055906644059	-0.750998667846662	-0.767004003011584	-0.381416583024848	0.982396389728587	-1.12025620554617	-0.990778251388691
ADGRF1	-0.083393479481579	-0.445284256937918	0.770433533416467	-0.628714574169594	1.05132212289816	-0.140518519865225	-0.723640879285453	-0.659432300044233	-0.185947449901759	0.931073460638987	-0.783961905623486	-0.718381110800327	0.524468319892081	-0.50145163411127	-0.686546327074345	1.13573926418912	-0.770134921899056	-0.550229714772334
SV2A	-1.88258232700454	-2.00128964639695	0.676588538860567	-0.85428951087574	-0.548164810014172	-0.504915496131158	0.325040532673228	-0.315284002901271	0.582279663814867	0.57003367762673	-1.33773197904541	1.27735272146961	-0.78298993687537	0.771613836000887	-0.534331165632769	0.836130363085044	0.324724994876588	0.213390785043609
CHN2	-0.231981947957915	-1.42299675301173	1.03871273805894	-1.46520725446359	-0.49218694344213	-1.20205550924046	-0.288297424321668	0.1283396869802	0.189858239303772	-0.0370635013671828	-0.803438817455353	-0.000530792653812146	-0.676193849249484	1.09385335524139	0.333660922044688	0.969702100992873	0.136254774255957	-0.790743892274068
SALL4	-0.794404131949049	0.783804548240187	-0.508578203015912	1.47993091545574	0.893321168307128	-0.725326115855947	-0.318944448025009	-0.304963815181956	-0.222851593327331	-0.381385897642379	-0.36347482234699	0.323381681406243	-0.592896567035036	-0.707642040047926	0.420584321964703	-0.59674194437587	-0.552576955199405	2.30214344517498
ARHGEF17	-1.27488915348009	-1.7292375768248	0.606307449097751	-0.81964190363811	0.459343597101707	-0.127325272664062	-0.337901080068023	0.622046508715838	0.365122735139011	-1.17272153949081	-1.27013650290899	-0.83725232604476	-0.308614662924901	0.75995872681272	0.696659377847377	0.793192073560918	-0.991642274009169	-0.38090900589535
LINC02611	-1.1650301679079	-1.30210964400271	0.866133227184318	-0.76548967766865	-0.924317071224865	-1.10089412209084	1.04897261196052	-0.183763880872771	1.02552572842736	-0.785862490919943	-0.811557336008685	-0.889550772472525	-0.663432296185142	0.0182538696352913	0.322332574529681	0.607576451581561	-0.464566176161954	-0.580403706118015
OVCH2	-0.934054306818308	1.2681715534838	0.0769883177058472	-0.710914113085291	1.05344450459375	-1.54720492072185	0.804357605251406	0.203338336419966	0.808759139076365	-1.24471802710735	-0.00257407575474917	-1.15410738593175	-0.105628570108027	-0.933946984478349	-0.729726919042262	-0.136760776943822	-1.23016870060993	-1.25393142747117
SH3BP5	0.0244055575182618	0.375950628293612	0.3562390612932	0.155161169049754	-0.738417491476092	-0.897245390202046	1.09340709838505	-0.0455297044788111	1.03470140027902	0.545955612029946	-0.77714741639338	-1.52985241863922	-0.824741546747256	-0.696268334456331	-1.10743433027651	0.815822163587512	-0.745211098395015	-0.722008611659307
NFATC4	1.52569139835615	-0.873816947702067	-0.545941368988948	0.325718699945249	-0.101834932878656	1.48258182505532	0.070249643536642	-0.485946992864402	0.00351591606899828	1.84944029326227	-0.512877787540374	1.40398209854262	1.39841799654851	0.90610089868992	-0.420823207271921	-0.436721056782213	1.61734760009119	-0.0052677873578799
CRLF2	-0.93942169165589	-1.15560435813697	2.09241124155393	-0.627531460211602	-0.863318046038034	-0.274916116536945	0.393044072925841	-0.234068093962518	0.271303066499052	-1.18342092544316	-0.116068039753005	-1.04215988145612	0.0570315240809765	-0.437862178424075	-0.0752089806395265	0.0151238450308927	-0.830371470396497	-0.50281710240674
CD34	-1.57220128783715	1.22049180883707	0.28710987553638	1.19685628385235	-0.299607735936056	-1.91135063930324	0.0277584123695099	-0.118904725276493	0.139413638353263	-0.436304714988331	-0.270553571686774	-1.21624248179522	-1.63842120337454	-0.456110684373182	-0.599732348401657	0.596439140128372	-1.62569316849181	1.03003834295527
TPBG	-0.67465196109312	0.397610693288968	-0.474484163445305	-0.17098575566476	-0.750925804979636	-0.541231092292828	-0.731086117866329	0.379657068961111	-0.756455475695206	0.0528522232340169	0.927168402779549	0.726082502495413	-0.727690155260424	1.44178261493692	0.76228820019018	0.536903877206743	0.785334861043891	-0.639632429601834
C12orf77	0.286643774079413	-0.396271196964701	-0.0915329428901679	-0.9238027515986	-0.992540333485354	0.87798493213151	-0.0434303995339517	1.01471627786281	-0.464083728702515	-0.883938851466926	1.07393269968473	1.64193436787433	1.04171420685477	0.773533867968577	0.172534130471669	-0.312002276856379	1.7165269268617	-1.05950979718102
TMEM156	0.0240224554601171	0.794681145956541	0.662250230376668	-0.592728184591904	0.271640402623426	-0.418122692659435	0.393517429503434	-0.571337562591651	0.699774562916456	-1.76642325119005	-1.16222074031009	-1.95211235431638	-1.03896083066317	0.0900002364935107	0.768120340538724	0.568769639536115	-1.95267035697023	1.06845953677485
PON2	0.695690061632738	0.628597043061378	0.665647246649659	-1.13807528276168	-0.796639387269365	0.0718217370240507	0.121083510810472	0.14863930505433	0.709848566206917	-0.736951310891549	-0.848228394529995	-0.857591020366147	-0.716795918552842	0.207769799923038	0.745141338316571	1.23722775321659	-0.142001069024982	-0.452795151185007
CCDC136	0.416517729912171	0.748594659895804	-0.484139742353743	1.20451416143164	1.07003593812924	0.943238937376551	-0.793782098164853	-1.23006149633308	-0.271959651967958	0.216718589833426	0.796636166603886	0.898710241704631	0.688644889226639	-0.0903248224177499	-0.789617876007292	-0.615187780253279	0.598987485308159	-0.252458314819869
PPM1E	1.47124484564111	1.38232882386543	-0.435750528996921	-0.153459261906122	-0.480517540599146	1.89677837724717	-0.573983518636946	0.510954411565576	-0.672108211400003	2.14178097422192	1.04041047604125	1.7400485448709	2.07226622316492	-0.164371150722834	-0.696342479497871	-0.150541410732821	1.85322440064489	-0.382883785374893
BMP2	-1.75919379403176	-1.40389647418255	0.425930885600699	-1.06446344147477	0.69446164447145	0.657008000952174	0.638955512623973	-0.0170551188030221	0.774560964344996	-0.550589464466624	-0.69862096235964	-0.832907547877931	-1.68630698545536	0.118714515977495	0.861124490421729	0.321215177267844	-1.28986042128681	-1.88749456927086
PKIA	0.833746011177476	0.779671831143688	-0.677365576440378	0.231602613419349	0.909567430900732	1.59526723756618	-0.593465614988089	-0.113526146476867	-1.10313276484582	1.25393846704525	0.687525101269632	1.44878135735354	-0.260987960847847	0.150284662915396	-0.860501317800459	-0.593033978012383	1.17514417298299	-0.631627115932456
GGT5	-0.951856508304743	-0.987989790673274	0.647754881120039	-0.73417314754967	-0.392619588055053	-0.16899882389682	-0.101481202214242	-0.341643627976822	0.305539814187431	-1.65932813267322	-0.649019976184133	-0.629996548386854	0.173850877146939	0.965938582545525	1.3649321264383	1.07757925851762	-1.33517382868241	-0.501799335579715
LINC01507	-1.13679513882326	-1.27602137557438	0.831914933620112	-0.537159406363924	0.522268960706774	-1.29468815904743	-0.0897304421733696	0.208724384636936	0.516742655669101	-1.09734823299011	-1.2836535698572	-0.965995169726433	-0.326035287174435	1.05136395686753	0.21849177132874	0.328038312115366	-1.26203191556862	-0.313776504502264
NUDT11	0.768333515252585	0.941030816216174	-0.515473193563755	0.550570535409548	1.19419594178887	2.43525091058324	-0.201331678172647	-0.34011698733771	-0.685738428889069	2.4924363141938	-0.563779978471458	0.559772613068084	0.70696202887055	-0.51582513104208	-0.612186867201013	-0.408445774877576	1.13039941809312	-0.611609712657059
LINC02355	-0.140224326780077	0.216740160062035	0.293580406589167	-0.130202317146821	0.784039349974342	0.62146177531162	0.780293297455626	-1.01790163682071	0.389748045113176	1.42325464492336	-1.10434260786258	-1.15591494117989	-0.317449052669067	-1.01682754181953	-1.23001065989944	0.467424115726491	-1.08455353225403	0.14472914433264
EFNB1	-1.44898305249938	0.835496742187212	0.280477594034923	-0.14523166511925	0.213235184333499	-1.88599701259005	1.31401942004062	0.0687290223588121	0.702307205530842	-1.44145374380733	-1.00035254745035	-1.96066500059868	-1.2210390743737	-0.502240843334049	-0.631356915505784	0.164607452878178	-1.53520365892183	0.310070444766749
RHOBTB1	0.0561583469427846	0.641668710296232	-0.915998328554111	0.914522836338876	0.641934118791118	1.17473682533262	-0.831778836347632	0.783674190813707	-0.940990847727171	-1.05093017932907	0.113041924702387	1.20934988106446	0.693501009092567	0.00271641151225525	0.49573792644418	-0.390133118575648	1.35958465199902	-0.0963256172272124
LINC00642	-1.3959878614223	-0.11255361868576	0.274841481423946	0.415698177427798	0.613160704611098	-1.41124269358046	0.285794814466649	-1.04525156713551	0.354172751028587	-1.20156928289354	-0.972183412839234	-1.35057550986599	-1.2666515303945	-0.609106351181178	-1.18408619895104	0.734225542406677	-0.94775060151291	0.976936787435348
VWA2	-0.966654485343216	-0.602494335909075	0.665342948972307	-1.2553263446609	0.169172829232483	0.121866901879072	0.329596153350325	0.0115994753605643	0.146910331325993	0.0376459977827035	-1.3347656232449	-0.834991200380443	-0.570898741552998	0.0577676333676486	-0.941915802548805	1.23200071033323	-0.26816159989985	-0.671864644590812
DMD	1.30254051275535	1.01333331677707	-0.195191740167275	1.15744663224816	0.783194959030087	1.1623567058074	-0.760023104645262	-0.450336717089646	-1.10869070735188	1.88107093217749	-0.650781379428554	0.605321470183785	-0.30605411360887	-0.704292416749326	-0.898788493744263	0.0592966048935045	1.10016289576751	0.551544042753535
