VAR	ABL1_BCR	ABL1_NUP214	CRLF2_P2RY8	DUX4	ETV6	ETV6_ABL1	ETV6_PAX5	ETV6_RUNX1	IGH_BCL2	IGH_CRLF2	IGH_DUX4	IGH_EPOR	IKZF1	JAK2	KMT2A	KMT2A_AFF1	KMT2A_EPS15	KMT2A_MLLT1	MEF2D_BCL9	PAX5	PAX5_CBFA2T3	PAX5_JAK2	PDGFRB_EBF1	TCF3_HLF	TCF3_PBX1	TCF3_ZNF384	ZNF384_EP300
SALL4	-0.607542919515659	-0.6267099599802	-0.401338050165785	1.50012127568112	0.271296462320208	-0.0525208016965132	-0.902048857581044	0.817710333369127	-0.669729012298135	-0.611919965206844	1.39669974365962	-0.690039799385061	0.00683914248350654	-0.889991342566932	-0.119524275241543	-0.466254865742063	-1.13133462268583	-0.124436414172244	0.142347298654398	-0.299888851750795	-0.604768143331561	-0.57465408858447	-0.409881968257334	-0.716276397546287	-0.608695225015423	1.80758485979976	2.29549725914102
RBM47	1.06854503420928	1.37919459018516	0.517232164529743	-0.635429084425409	-0.540437441134985	0.700994993454919	-1.01495140666355	-1.00093378630088	-0.243782345272888	0.863176333051952	-0.861037735125917	1.07623869960196	-0.326715753811946	1.24395252389336	-0.288755972014518	0.17384832848079	-0.0295119459546644	-0.340850709768338	-1.12404945449479	0.0973820764261376	-0.268868238473423	0.97622024557167	1.78262952947895	-0.574206062993385	-0.9600488214387	-0.305089043908508	-0.258416854013934
ROR1	-0.356962118883776	-0.999235958563774	-0.407853030995215	0.645252334592981	0.56271076880425	-0.14650632996842	1.26748455314162	0.174668238453848	1.43177442110549	-0.655557836644977	0.346425377596608	-0.762238816867738	1.15502364091009	-0.767168419793467	1.11615382293242	-0.455322754616903	-0.705931364936748	0.29360779361567	1.45761361349733	-0.105914544490123	1.36730897756083	-0.753937869822551	-0.820573918049473	2.33373336845876	1.75889694925698	-0.725294554432471	-0.898901199848219
TP53INP1	0.512193925944183	0.795023359901087	0.294182571164715	-0.814409924243171	0.594480351610612	0.502345984565633	0.287086374729808	0.744176796327763	-0.0209177823168049	0.55533921413219	-0.716460076638783	0.858969822168345	0.72062508931375	1.17815661173171	-1.28659070719359	-1.38455737253384	-1.83834581123847	-1.4045620005125	-0.57611284932399	-0.398554873573448	-0.394123213523581	0.95092276082361	1.06947974735008	0.455074930698541	-0.72321915907245	-0.836577519050425	-0.389386218965057
RGMA	-0.685952708719409	-0.340432834226056	-0.201851232894424	0.62517468344447	1.20896233528754	0.0130812015186827	-0.766784120794689	1.40042009210859	-1.03023613601249	-0.652004031172805	0.228557507650585	-1.13612657727296	1.2294201303144	-1.06984877476641	-0.521850135189982	-0.500295615449997	-0.57305666519298	0.108679364161052	-0.793447951777619	-0.120023792133062	-0.263370488620702	-1.00746047380245	-0.601389638016978	0.0817920704638489	1.13557180299709	-0.436627599682655	-0.852611504379457
GGT5	0.91831601427005	1.10947080884808	0.38284786511464	-0.580815595477083	-0.188589984997964	1.05476302825403	0.958489550806975	-0.480195284482009	-0.793185178524093	0.576219859322456	-0.8208621270321	0.438633939929967	-0.963339894254682	0.394371890349947	-0.655075687009723	-0.712990018309389	-0.673774601126686	-0.8091789634114	-0.702608470704883	0.950761132909069	0.601087327695396	1.14967020525261	1.05229303802184	-0.312807593389298	-1.38039292031561	-0.408618584811824	-0.569204036475504
EYA4	-0.706564813548301	-0.872619296008843	-0.217871127172055	-0.189067869116613	-0.184754958130686	-0.848619456863933	-1.14835068871362	0.128044815978239	-0.770904785806262	-0.0678472946069816	0.694307617736992	0.189599131799742	-0.769932186961929	-0.850622969197823	0.423713577305701	1.28845176083743	1.19814440025522	1.11649080381323	0.736368217776101	-0.853118706825988	-1.11814435176204	-0.480785140249047	-0.664723657487953	2.16462433162181	1.45098782481894	-1.13784657384078	-1.18292900969094
KCNK3	0.234369966505052	0.0613227522028846	-0.295879249289461	0.826157572399347	1.3469753399998	1.19418911322015	-1.16983513732869	1.26878616803757	-0.843246826405107	-0.22042853239215	0.753723724313839	-0.391584188611961	-0.467834997782293	0.0941134001563859	-1.04149767194565	-1.03264873316876	-1.20083804050192	-0.973615470467967	-1.0619707250886	-1.00773746420199	-1.13151932007211	-0.733139860090647	-0.0140322153423592	-0.51532824055673	-0.614535201424342	0.173440511278496	0.401844789928824
PROM1	0.0241388918257538	0.352731444014341	0.23421126253362	-1.01889647564044	0.520669885330352	-0.553205027240642	-1.282280303062	0.0251682992307846	-0.634053776322074	0.152436231392927	-1.18671960374986	0.162647741252528	-0.150830765218473	0.0153735554417644	0.347612173007618	1.89828478785135	0.168466598505162	1.83909725691407	-0.852125824104392	-0.885974030961422	-0.66872075654401	-0.563553087060907	-0.806769129731162	1.01715036904496	-0.472113647610424	0.334235759957047	0.640745326620678
KLHL13	-0.595966757659751	-0.878685202202481	-0.497796955756266	1.52813448576115	0.0338244251013073	-0.300257116153025	-0.135743091083317	-0.325039340888694	-0.305593862623208	-0.608718934133648	1.65442284611631	-0.635349146158177	0.21197044433851	-0.416754732415741	1.13909365908729	1.12931171674335	0.76302861490711	1.30119522181808	1.16859484882196	0.0827512534260162	-0.638362739535667	-0.805594062957795	-0.427942190279159	1.96848587421632	-0.502641582028837	-0.553552303771165	-0.57791374562844
TPBG	0.412822693452	0.327283296906551	-0.668335836270971	-0.297594328446909	-0.663010499343972	0.438515064560151	1.63489155588459	-0.866932861371661	-0.602998703840208	-0.564442607314827	-0.345809695302696	-0.728421724059577	-0.398618132646798	-0.91809685050086	-0.567156696948183	1.07085009533008	0.721690602465176	0.65306309855552	0.482589829079198	0.995853925843682	1.75151613605276	-0.487279542088177	0.979132620825069	-0.60769875863434	0.636014658024706	-0.315153159059486	-0.857469078974263
TACC2	-0.623846673536741	-0.27650110856559	-0.645595970760361	1.22524329823034	-0.0720964365696178	-0.67026814640895	-0.386563093540478	0.129777799968136	-0.222419902593324	-0.714715324240483	1.14064291130202	-0.741392815492345	-0.0972716008957438	-0.859176821116846	0.829531340524234	0.983390519298477	0.696809366913122	0.788917185955473	0.899932499054904	-0.357832509055243	0.00666643673718192	-1.01199261111137	-1.17652695553618	0.180504068359376	1.46515283904173	-0.924439539751949	-1.09218768524515
CISH	0.718215582230765	1.33353145853254	0.304993466396166	-0.116077533955812	-0.146844062690736	1.26874962743442	-0.532943890701096	-0.101678020897674	-1.24866012180563	0.820921536680246	-0.312731185686072	1.10719119448384	-1.09095460752155	0.429443636420394	-0.884759169303041	-0.648672694640469	-0.448718344733849	-0.675189941742304	-0.925676264259151	-0.549208200168579	-0.34630307493237	2.43999100698893	2.02683836581417	-0.541805211677745	-1.11650142776084	0.472678427295322	0.355169862427522
